"E(level)(keV)", "Jπ(level)"    , "T1/2(level)"
"12596 15"     , ""             , "75 keV 30 , % n < 100, % α < 100"
"12670 15"     , "(3/2-,9/2+)"  , "75 keV, % n < 100, % α < 100"
"12760 26"     , ""             , "< 70 keV, % n < 100, % α < 100"
"12928 20"     , "(1/2+,7/2-)"  , "≥ 150 keV, % n < 100, % α < 100"
"12946 6"      , "1/2+"         , "6 keV 2 , % n > 3.5, % α < 96.5"
"13004.2 6"    , "5/2-"         , "2.5 keV 10 , % n > 16, % α < 84"
"13072 15"     , "(3/2-)"       , "16 keV 4 , % n < 100, % α < 100"
"13485 15"     , "(9/2+)"       , "≈ 120 keV, % n < 100, % α < 100"
"13580 20"     , "(11/2-,13/2-)", "68 keV 19"
"13610 15"     , ""             , "≈ 200 keV, % n < 100, % α < 100"
"13641.9 24"   , "5/2+"         , "9 keV 5 , % n > 2.7"
"13649?"       , ""             , "400 keV, % n ≤ 100"
"14.15E3 10"   , "(9/2+,11/2+)" , "≈ 150 keV"
"14237.7 15"   , "7/2-"         , "20.5 keV 16 , % n > 10"
"14293 3"      , ""             , "7.5 keV 4 , % n ≤ 100"
"14458 3"      , ""             , "40 keV 6 , % n ≤ 100"
"14550 26"     , ""             , ""
"14720 20"     , "9/2-"         , "35 keV 11"
"14.76E3 10"   , "7/2-"         , "≈ 340 keV, % n ≤ 100"
"14799 3"      , "1/2-"         , "36 keV 13 , % n < 100"
"14880 26"     , "(15/2+)"      , "% α < 100"
"14967"        , "(5/2+)"       , "≈ 155 keV, % n < 100, % α < 100"
"15.10E3 10"   , "(9/2+,11/2+)" , "0.40 MeV 15 , % IT > 0, % p < 100, % α < 100"
"15101 8"      , ""             , ""
"15208 3"      , "3/2+"         , "52 keV 14 , % n < 100, % p < 100"
"15377 3"      , "(5/2+)"       , "40 keV 6 , % n ≤ 100"
"15620 26"     , ""             , "% p < 100, % α < 100"
"15787 20"     , "(13/2-)"      , "< 30 keV, % p ≤ 100"
"15.95E3 15"   , "(9/2+,11/2+)" , "0.40 MeV 15 , % IT > 0, % n < 100, % p < 100, % α < 100"
"16253 4"      , "(9/2+)"       , "21 keV 10 , % n < 100"
"16578 12"     , "3/2-"         , "≈ 300 keV"
"16.60E3 15"   , "(11/2-,13/2-)", ""
"17060 20"     , "(11/2-)"      , "< 20 keV"
"17448 11"     , ""             , "66 keV 20 , % n < 100"
"17920 20"     , ""             , "98 keV 16"
"18122 4"      , "3/2-"         , "46 keV 12 , % n ≤ 100"
"18720 20"     , ""             , "87 keV 33"
"18830 20"     , ""             , "≤ 20 keV"
"19.28E3 7 ?"  , ""             , "> 0.75 MeV, % IT > 0"
"19.60E3 15"   , "(13/2+,15/2+)", "250 keV"
"19820 40"     , "3/2-"         , "550 keV 50 , % IT > 6×10-4"
"20140 20"     , "(11/2-)"      , "31 keV 5"
"20.20E3 15"   , "(13/2+,15/2+)", "≈ 250 keV"
"20390 50"     , "(5/2-,7/2-)"  , "660 keV 70 , % IT > 6.5×10-4"
"20580 50"     , "1/2+"         , "570 keV 80 , % IT ≥ 9×10-4, % n ≤ 99.999"
"20700 20"     , "(9/2-)"       , "< 20 keV"
"21050 50"     , "(3/2-)"       , "470 keV 60 , % IT > 0.0026"
"21200"        , "(13/2+,15/2+)", ""
"21725 82"     , "5/2+"         , "750 keV, % IT > 0, % α < 100"
"22136 82"     , "7/2-"         , "750 keV, % IT > 0, % n < 100, % p < 100, % α < 100"
"22.55E3 17"   , "3/2(-)"       , "≈ 1 MeV, % IT > 0"
"22960 82"     , "1/2+"         , "≈ 0.4 MeV, % IT > 0, % p < 100"
"23454 82"     , ""             , "% IT > 0"
"24442 82"     , ""             , "% IT > 0, % p < 100"
"26500 15 ?"   , ""             , "% IT > 0, % p < 100"
