EN (MeV),XS (mb)
0.47,2.1499999999999997e-06
0.48,3.71e-06
0.49,5.27e-06
0.5,6.830000000000001e-06
0.51,1.0058e-05
0.52,1.3286e-05
0.53,1.812e-05
0.5399999999999999,2.456e-05
0.5499999999999999,3.1e-05
0.5599999999999999,4.308e-05
0.57,5.516000000000001e-05
0.58,7.216e-05
0.59,9.408000000000001e-05
0.6,0.000116
0.61,0.000154
0.62,0.00019200000000000003
0.63,0.000243
0.64,0.000307
0.65,0.00037099999999999996
0.6599999999999999,0.0004754
0.6699999999999999,0.0005798
0.6799999999999999,0.000715
0.69,0.0008810000000000002
