EN (MeV),XS (mb)
2.08,61.36629629629629
2.09,62.284814814814816
2.1,63.20333333333333
2.11,64.12185185185184
2.12,65.04037037037037
2.13,65.9588888888889
2.14,67.04578947368421
2.15,68.38526315789474
2.1599999999999997,69.72473684210526
2.17,71.06421052631579
2.1799999999999997,75.89947368421052
2.19,83.06526315789473
2.1999999999999997,90.23105263157895
2.21,97.39684210526316
2.2199999999999998,101.25615384615384
2.23,104.28884615384615
2.2399999999999998,107.32153846153845
2.25,110.35423076923075
2.26,113.38692307692308
2.27,111.2877551020408
2.28,105.76734693877552
2.29,100.2469387755102
2.3,94.7265306122449
2.31,89.20612244897958
2.32,87.76
2.33,88.06
2.34,88.36
2.35,88.66
2.36,89.13581395348837
2.37,89.72883720930231
2.38,90.32186046511627
2.3899999999999997,90.91488372093023
2.96,30.343298059964724
2.9699999999999998,31.563684210526315
2.98,34.31982456140351
2.9899999999999998,37.075964912280696
3.0,39.83210526315789
3.01,42.58824561403508
3.02,45.34438596491228
3.03,48.100526315789466
3.04,50.85666666666666
3.05,53.61280701754386
3.06,56.368947368421054
3.07,59.12508771929824
3.08,61.60016129032259
3.09,62.95096774193548
3.0999999999999996,64.3017741935484
3.11,65.6525806451613
3.1199999999999997,67.00338709677419
3.13,68.35419354838709
3.1399999999999997,69.705
3.15,71.0558064516129
3.1599999999999997,72.4066129032258
3.17,73.7574193548387
3.1799999999999997,75.10822580645161
3.19,76.45903225806451
3.1999999999999997,77.80983870967742
3.21,87.15085714285713
3.2199999999999998,98.48942857142856
3.23,109.828
3.2399999999999998,121.16657142857143
3.25,132.50514285714286
3.26,143.8437142857143
3.27,155.1822857142857
3.28,158.69285714285712
3.29,160.24642857142857
3.3,161.8
3.31,149.3821052631579
3.32,147.9373684210526
3.33,146.49263157894737
3.34,145.0478947368421
3.3499999999999996,141.79461538461538
3.36,137.33564102564102
3.3699999999999997,132.87666666666667
3.38,128.4176923076923
4.6499999999999995,34.45310725552051
4.66,36.06962264150944
4.67,37.94698113207547
4.68,39.82433962264151
4.6899999999999995,41.70169811320755
4.7,43.57905660377359
4.71,44.544285714285714
4.72,44.901428571428575
4.7299999999999995,45.25857142857143
4.74,45.61571428571429
4.75,45.972857142857144
4.76,46.33
4.77,46.68714285714286
4.779999999999999,47.044285714285714
4.79,47.40142857142857
4.8,47.75857142857143
4.81,46.84150684931507
4.819999999999999,45.6058904109589
4.83,44.37027397260274
4.84,43.13465753424657
4.85,41.89904109589041
4.859999999999999,40.66342465753424
4.87,39.42780821917808
4.88,41.80042553191489
4.89,47.78127659574467
4.8999999999999995,53.76212765957447
4.91,59.742978723404256
4.92,65.72382978723404
4.93,77.62181818181818
4.9399999999999995,90.99909090909092
4.95,106.41883720930232
4.96,123.20023255813953
4.97,139.98162790697674
4.9799999999999995,156.76302325581395
4.99,164.51142857142855
5.0,151.18285714285716
5.01,137.8542857142857
5.02,124.5257142857143
5.029999999999999,111.19714285714285
5.04,97.86857142857143
5.05,84.54
5.06,89.56622950819671
5.069999999999999,94.59245901639345
5.08,99.61868852459015
5.09,104.64491803278689
5.1,109.6711475409836
5.109999999999999,114.69737704918032
5.12,119.229
5.13,123.70566666666666
5.14,128.1823333333333
5.1499999999999995,132.659
5.16,137.13566666666665
5.17,141.6123333333333
5.18,130.94924050632912
5.1899999999999995,130.82772151898735
5.2,130.70620253164554
5.21,130.5846835443038
5.22,130.46316455696203
5.2299999999999995,130.34164556962025
5.239999999999999,130.22012658227845
5.25,130.0986075949367
5.26,127.359
5.27,122.874
5.279999999999999,118.389
5.29,113.90400000000001
5.3,109.419
5.31,104.934
5.319999999999999,100.44900000000001
5.33,95.96400000000001
5.34,92.84272727272727
5.35,90.63060606060607
5.359999999999999,88.41848484848485
5.37,86.20636363636363
5.38,83.99424242424243
5.39,81.78212121212121
5.3999999999999995,79.57000000000001
5.41,81.62
5.42,83.66999999999999
5.43,85.72
5.4399999999999995,87.77
5.45,89.82
5.46,93.28399999999999
5.47,96.748
5.4799999999999995,100.21199999999999
5.489999999999999,103.676
5.5,107.14
5.51,101.27932584269662
5.52,95.41865168539326
5.529999999999999,89.55797752808989
5.54,83.69730337078651
5.55,77.83662921348314
5.56,71.97595505617977
5.569999999999999,66.1152808988764
5.58,60.254606741573035
5.59,55.0982
5.6,56.2802
5.609999999999999,57.462199999999996
5.62,58.6442
5.63,59.8262
5.64,61.008199999999995
5.6499999999999995,62.190200000000004
5.66,63.37220000000001
5.67,64.55420000000001
5.68,65.7362
5.6899999999999995,66.9182
5.7,68.1002
5.71,69.2822
5.72,70.4642
5.7299999999999995,71.6462
5.739999999999999,72.83535714285715
5.75,74.08892857142857
5.76,75.34249999999999
5.77,76.59607142857143
5.779999999999999,77.84964285714285
5.79,79.10321428571429
5.8,80.35678571428572
5.81,81.61035714285715
5.819999999999999,82.86392857142857
5.83,84.1175
5.84,85.37107142857144
5.85,86.62464285714286
5.859999999999999,87.8782142857143
5.87,89.13178571428571
5.88,91.52187500000001
5.89,104.140625
5.8999999999999995,116.759375
5.91,129.378125
5.92,141.996875
5.93,153.17629032258066
5.9399999999999995,160.99725806451613
5.949999999999999,168.8182258064516
5.96,176.63919354838708
5.97,184.4601612903226
5.9799999999999995,192.28112903225806
5.989999999999999,198.45429687499998
6.0,189.797265625
6.01,181.14023437499998
6.02,172.483203125
6.029999999999999,163.826171875
6.04,155.169140625
6.05,146.512109375
6.06,137.855078125
6.069999999999999,129.198046875
6.08,120.541015625
6.09,111.88398437500001
6.1,103.22695312500001
6.109999999999999,94.569921875
