EN (MeV),XS (mb)
0.00,0.000000000
0.01,0.000033898
0.02,0.000067797
0.03,0.000101695
0.04,0.000135593
0.05,0.000169492
0.06,0.000203390
0.07,0.000237288
0.08,0.000271186
0.09,0.000305085
0.10,0.000338983
0.11,0.000372881
0.12,0.000406780
0.13,0.000440678
0.14,0.000474576
0.15,0.000508475
0.16,0.000542373
0.17,0.000576271
0.18,0.000610169
0.19,0.000644068
0.20,0.000677966
0.21,0.000711864
0.22,0.000745763
0.23,0.000779661
0.24,0.000813559
0.25,0.000847458
0.26,0.000881356
0.27,0.000915254
0.28,0.000949153
0.29,0.000983051
0.30,0.001016949
0.31,0.001050847
0.32,0.001084746
0.33,0.001118644
0.34,0.001152542
0.35,0.001186441
0.36,0.001220339
0.37,0.001254237
0.38,0.001288136
0.39,0.001322034
0.40,0.001355932
0.41,0.001389831
0.42,0.001423729
0.43,0.001457627
0.44,0.001491525
0.45,0.001525424
0.46,0.001559322
0.47,0.001593220
0.48,0.001627119
0.49,0.001661017
0.50,0.001694915
0.51,0.001728814
0.52,0.001762712
0.53,0.001796610
0.54,0.001830508
0.55,0.001864407
0.56,0.001898305
0.57,0.001932203
0.58,0.001966102
0.59,0.002000000
0.60,0.002033898
0.61,0.002067797
0.62,0.002101695
0.63,0.002135593
0.64,0.002169492
0.65,0.002203390
0.66,0.002237288
0.67,0.002271186
0.68,0.002305085
0.69,0.002338983
0.70,0.002372881
0.71,0.002406780
0.72,0.002440678
0.73,0.002474576
0.74,0.002508475
0.75,0.002542373
0.76,0.002576271
0.77,0.002710526
0.78,0.003078947
0.79,0.003642857
0.80,0.004500000
0.81,0.005431579
0.82,0.006536842
0.83,0.007920000
0.84,0.009720000
0.85,0.011500000
0.86,0.013250000
0.87,0.015480000
0.88,0.018430000
0.89,0.021900000
0.90,0.026150000
0.91,0.030742105
0.92,0.035847368
0.93,0.042100000
0.94,0.049500000
0.95,0.059925000
0.96,0.073375000
0.97,0.084700000
0.98,0.095150000
0.99,0.109333333
1.00,0.135636364
1.01,0.157454545
1.02,0.175111111
1.03,0.209000000
1.04,0.366500000
1.05,0.850000000
1.06,0.718000000
1.07,0.525500000
1.08,0.481000000
1.09,0.470636364
1.10,0.483285714
1.11,0.484714286
1.12,0.497000000
1.13,0.548800000
1.14,0.590600000
1.15,0.610800000
1.16,0.634800000
1.17,0.659200000
1.18,0.677600000
1.19,0.728200000
1.20,0.747200000
1.21,0.777000000
1.22,0.792800000
1.23,0.795800000
1.24,0.826400000
1.25,0.864222222
1.26,0.868900000
1.27,0.866300000
1.28,0.924500000
1.29,0.891400000
1.30,0.935600000
1.31,0.974000000
1.32,1.489090909
1.33,2.043636364
1.34,2.178461538
1.35,1.763076923
1.36,1.347692308
1.37,1.135833333
1.38,1.127500000
1.39,1.117272727
1.40,1.090000000
1.41,1.110000000
1.42,1.160000000
1.43,1.205454545
1.44,1.192000000
1.45,1.220000000
1.46,1.283636364
1.47,1.290000000
1.48,1.310000000
1.49,1.310000000
1.50,1.370000000
1.51,1.420000000
1.52,1.440000000
1.53,1.570000000
1.54,1.660909091
1.55,1.620000000
1.56,1.750000000
1.57,2.210000000
1.58,2.670000000
1.59,10.500000000
1.60,2.698571429
1.61,2.125000000
1.62,2.176000000
1.63,2.236000000
1.64,2.299000000
1.65,2.386363636
1.66,2.450000000
1.67,2.750000000
1.68,2.850000000
1.69,2.950000000
1.70,3.250000000
1.71,3.379000000
1.72,3.764545455
1.73,4.110000000
1.74,4.300000000
1.75,4.375000000
1.76,4.459000000
1.77,4.827000000
1.78,5.008000000
1.79,5.282000000
1.80,5.500000000
1.81,5.724000000
1.82,6.068000000
1.83,6.585454545
1.84,7.384000000
1.85,7.916000000
1.86,8.374000000
1.87,8.843000000
1.88,9.560000000
1.89,10.160000000
1.90,10.770000000
1.91,11.500000000
1.92,12.580000000
1.93,13.920000000
1.94,15.000000000
1.95,16.100000000
1.96,17.600000000
1.97,19.140000000
1.98,20.920000000
1.99,23.000000000
2.00,25.218181818
2.01,28.260000000
2.02,30.933333333
2.03,34.280000000
2.04,37.660000000
2.05,40.922222222
2.06,43.430000000
2.07,44.290000000
2.08,45.700000000
2.09,47.510000000
2.10,43.866666667
2.11,40.520000000
2.12,38.980000000
2.13,37.880000000
2.14,37.440000000
2.15,38.420000000
2.16,40.890909091
2.17,44.060000000
2.18,48.800000000
2.19,55.070000000
2.20,61.850000000
2.21,69.040000000
2.22,75.230000000
2.23,74.900000000
2.24,73.744444444
2.25,70.500000000
2.26,66.950000000
2.27,62.650000000
2.28,57.550000000
2.29,55.550000000
2.30,54.450000000
2.31,53.750000000
2.32,53.300000000
2.33,53.600000000
2.34,55.300000000
2.35,57.611111111
2.36,61.150000000
2.37,64.850000000
2.38,66.950000000
2.39,66.800000000
2.40,65.700000000
2.41,62.244444444
2.42,55.900000000
2.43,48.680000000
2.44,41.400000000
2.45,36.140000000
2.46,33.180000000
2.47,29.833333333
2.48,26.920000000
2.49,25.150000000
2.50,23.580000000
2.51,22.120000000
2.52,21.254545455
2.53,20.700000000
2.54,20.620000000
2.55,20.940000000
2.56,23.063636364
2.57,30.881818182
2.58,43.420000000
2.59,48.922222222
2.60,36.128571429
2.61,25.700000000
2.62,21.840000000
2.63,20.600000000
