EN (MeV),XS (mb)
0.99,0.12041666666666669
1.0,0.17875000000000002
1.01,0.21346153846153845
1.02,0.2607714285714286
1.03,0.3493428571428571
1.04,0.4333307692307692
1.05,1.1771
1.06,1.2071
1.07,0.6485333333333333
1.0799999999999998,0.59165
1.0899999999999999,0.6635500000000001
1.0999999999999999,0.6796000000000001
1.1099999999999999,0.7010000000000001
1.1199999999999999,0.7789999999999999
1.13,0.7994
1.14,0.8849
1.15,1.072
1.16,1.01395
1.17,1.0045333333333333
1.18,1.0358
1.19,1.0667
1.2,1.0471
1.21,1.189731707317073
1.22,1.16025
1.23,1.0806666666666667
1.24,1.325875
1.25,1.2850000000000001
1.26,1.21575
1.27,1.279
1.28,1.2473333333333334
1.29,1.3815000000000002
1.3,1.5462500000000001
1.3099999999999998,1.356875
1.3199999999999998,1.484375
1.3299999999999998,2.703375
1.3399999999999999,7.00575
1.3499999999999999,1.8807560975609756
1.3599999999999999,1.6879
1.3699999999999999,1.629
1.38,1.6131333333333335
1.39,1.7155500000000001
1.4,1.4857500000000001
1.41,1.7140499999999999
1.42,1.6964000000000001
1.43,1.6985999999999999
1.44,1.678
1.45,1.7514000000000003
1.46,1.8444
1.47,1.8370000000000002
1.48,1.88045
1.49,1.8965853658536584
1.5,2.0479499999999997
1.51,2.14395
1.52,2.15895
1.53,2.137425
1.54,2.345925
1.5499999999999998,2.3983749999999997
1.5599999999999998,2.345125
1.5699999999999998,2.5685000000000002
1.5799999999999998,2.7033500000000004
1.5899999999999999,7.7574
1.5999999999999999,2.8962499999999998
1.6099999999999999,3.01835
1.6199999999999999,3.091
1.63,3.2388999999999997
1.64,3.4356500000000003
1.65,3.29702
1.66,3.547675
1.67,3.6944
1.68,3.9952
1.69,4.38472
1.7,4.218400000000001
1.71,4.736319999999999
1.72,5.042700000000001
1.73,5.5112
1.74,6.4992
1.75,6.449
1.76,6.3434
1.77,6.697900000000001
1.78,6.6086
1.7899999999999998,7.0918
1.7999999999999998,7.5654
1.8099999999999998,7.950880000000001
1.8199999999999998,8.37236
1.8299999999999998,8.95808
1.8399999999999999,9.627317073170731
1.8499999999999999,10.170399999999999
1.8599999999999999,10.958250000000001
1.8699999999999999,11.487750000000002
1.88,12.971
1.89,13.7752
1.9,14.6798
1.91,15.6846
1.92,16.858999999999998
1.93,18.472600000000003
1.94,19.552799999999998
1.95,21.651400000000002
1.96,23.903000000000002
1.97,25.6998
1.98,28.412799999999997
1.99,30.825000000000003
2.0,33.8528
2.01,38.2765
2.02,41.204
2.03,45.65
2.04,50.818
2.05,55.968
2.06,62.144
2.07,67.75399999999999
2.08,70.43
2.09,71.56
2.1,69.26
2.11,67.9
2.12,64.72200000000001
2.13,62.262499999999996
2.14,59.332
2.15,58.304
2.1599999999999997,59.285000000000004
2.17,59.49
2.1799999999999997,62.876000000000005
2.19,69.732
2.1999999999999997,78.9025
2.21,89.835
2.2199999999999998,101.83098039215686
2.23,112.44200000000001
2.2399999999999998,117.19
2.25,118.78800000000001
2.26,113.16000000000001
2.27,106.436
