bin_center,sigma,d_sigma
5000.0,0.0,0.0
15000.0,0.0,0.0
25000.0,0.0,0.0
35000.0,0.0,0.0
45000.0,0.0,0.0
55000.0,0.0,0.0
65000.0,0.0,0.0
75000.0,0.0,0.0
85000.0,0.0,0.0
95000.0,0.0,0.0
105000.0,0.0,0.0
115000.0,0.0,0.0
125000.0,0.0,0.0
135000.0,0.0,0.0
145000.0,0.0,0.0
155000.0,0.0,0.0
165000.0,0.0,0.0
175000.0,0.0,0.0
185000.0,0.0,0.0
195000.0,0.0,0.0
205000.0,0.0,0.0
215000.0,0.0,0.0
225000.0,0.0,0.0
235000.0,0.0,0.0
245000.0,0.0,0.0
255000.0,0.0,0.0
265000.0,0.0,0.0
275000.0,0.0,0.0
285000.0,0.0,0.0
295000.0,0.0,0.0
305000.0,0.0,0.0
315000.0,0.0,0.0
325000.0,0.0,0.0
335000.0,0.0,0.0
345000.0,0.0,0.0
355000.0,0.0,0.0
365000.0,0.0,0.0
375000.0,0.0,0.0
385000.0,0.0,0.0
395000.0,0.0,0.0
405000.0,0.0,0.0
415000.0,0.0,0.0
425000.0,0.0,0.0
435000.0,0.0,0.0
445000.0,0.0,0.0
455000.0,0.0,0.0
465000.0,0.0,0.0
475000.0,0.0,0.0
485000.0,0.0,0.0
495000.0,0.0,0.0
505000.0,0.0,0.0
515000.0,0.0,0.0
525000.0,0.0,0.0
535000.0,0.0,0.0
545000.0,0.0,0.0
555000.0,0.0,0.0
565000.0,0.0,0.0
575000.0,0.0,0.0
585000.0,0.0,0.0
595000.0,0.0,0.0
605000.0,0.0,0.0
615000.0,0.0,0.0
625000.0,0.0,0.0
635000.0,0.0,0.0
645000.0,0.0,0.0
655000.0,0.0,0.0
665000.0,0.0,0.0
675000.0,0.0,0.0
685000.0,0.0,0.0
695000.0,0.0,0.0
705000.0,0.0,0.0
715000.0,0.0,0.0
725000.0,0.0,0.0
735000.0,0.0,0.0
745000.0,0.0,0.0
755000.0,0.0,0.0
765000.0,0.0,0.0
775000.0,0.0,0.0
785000.0,0.0,0.0
795000.0,0.0,0.0
805000.0,0.0,0.0
815000.0,0.0,0.0
825000.0,0.0,0.0
835000.0,0.0,0.0
845000.0,0.0,0.0
855000.0,0.0,0.0
865000.0,0.0,0.0
875000.0,0.0,0.0
885000.0,0.0,0.0
895000.0,0.0,0.0
905000.0,0.0,0.0
915000.0,0.0,0.0
925000.0,0.0,0.0
935000.0,0.0,0.0
945000.0,0.0,0.0
955000.0,0.0,0.0
965000.0,0.0,0.0
975000.0,0.0,0.0
985000.0,0.0,0.0
995000.0,0.0001308052071365,2.3655402336944068e-05
1005000.0,0.0001574259503261,2.3951030483409567e-05
1015000.0,0.0001823998971148,2.7199883397010648e-05
1025000.0,0.000279847063537,3.300976288708419e-05
1035000.0,0.0002854967779132,3.22783629177736e-05
1045000.0,0.0005737683460863,1.1054052824929558e-05
1055000.0,0.0029233405642777,2.098065891364888e-05
1065000.0,0.0007742095596945,1.4314857698148441e-05
1075000.0,0.0004566591267872,1.976853306620853e-05
1085000.0,0.0005078003391952,2.048792666647713e-05
1095000.0,0.0005224162131782,2.0515864266234113e-05
1105000.0,0.0005551849295195,2.116911874295505e-05
1115000.0,0.000560983031147,2.0757697338894943e-05
1125000.0,0.0006341343953187,2.1047296178926782e-05
1135000.0,0.0006542780365046,2.2278444539840017e-05
1145000.0,0.000819320045538,2.519710530589814e-05
1155000.0,0.0007805561254504,2.2138411744041894e-05
1165000.0,0.0008057774671733,2.439175462034486e-05
1175000.0,0.0008075039862747,2.474563617809765e-05
1185000.0,0.0008221858464788002,2.5425813492920556e-05
1195000.0,0.0008686700938272,2.560462887239404e-05
1205000.0,0.0008791520809246002,2.626795487325979e-05
1215000.0,0.0009542439411764,2.748499337986161e-05
1225000.0,0.0009124442605946999,2.618016703214706e-05
1235000.0,0.0009394031688102,2.646927291381934e-05
1245000.0,0.0010071469745587,2.7586064055485498e-05
1255000.0,0.0010075776221183,2.752039633116283e-05
1265000.0,0.001013496358941,2.7390659465512665e-05
1275000.0,0.0010030527950505,2.6835379721142746e-05
1285000.0,0.001061000291539,2.729765063400641e-05
1295000.0,0.0011116916709595,2.850737599004136e-05
1305000.0,0.0011203569304694,2.8660386989483105e-05
1315000.0,0.0011671643636165,3.0393183830086595e-05
1325000.0,0.001346555512331,2.9897389430298642e-05
1335000.0,0.0080833846097214,6.098424782911951e-05
1345000.0,0.002850902580503,3.156349108883302e-05
1355000.0,0.0013616307751085,3.060189940807035e-05
1365000.0,0.0012910423245566,3.105188473743528e-05
1375000.0,0.0012914279913031,3.080814456599697e-05
1385000.0,0.0012910580157768,2.9890569661483665e-05
1395000.0,0.0012959104709803,3.1381263519978086e-05
1405000.0,0.0012456201269861,3.0461500121058863e-05
1415000.0,0.0013602071058373,3.134751326054482e-05
1425000.0,0.0013273192897478,3.166102073234099e-05
1435000.0,0.0013757039545426,3.245311349376575e-05
1445000.0,0.0013957580377407,3.3050777727199634e-05
1455000.0,0.0014238824307835,3.3148555620615165e-05
1465000.0,0.0014651558544607,3.230190414292418e-05
